Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Tawa, J",,,,"Tawa, John",,,TRIANGULATED RACIALIZATION INDEX (TRI): INCREMENTAL AND PREDICTIVE VALIDITY OF A MULTIDIMENSIONAL STEREOTYPE MEASURE,SOCIAL COGNITION,,,,,,,,,,,,"A new stereotype metric is proposed, computed as the geometric area of a triangle determined by stereotype endorsement in reference to three racialized groups (i.e., Asian, Black, and White) mapped onto a three-dimensional (i.e., body, mind, and self-interest) field. Conceptually, this measure determines the extent to which these racial groups are triangulated in relation to one another; operationally, this is represented by greater distances between vertices in the three-dimensional field. Among a sample of Asian (n = 64), Black (n = 73), and White (n = 165) adults, regression analyses partially supported predictions that the triangulation-based metric would be a stronger predictor of prejudice than single-group referenced stereotypes. Mediation analyses supported the theoretical perspective that triangulation relates to prejudice because people who simultaneously endorse stereotypes of Black and Asian people at extreme ends of bipolar continuums have relatively fixed views about the nature of race (i.e., racial essentialism).",,,,,,,,,,,,,,,,,,,0278-016X,,,,,OCT,2021,39,5,,,,,608,631,,10.1521/soco.2021.39.5.608,http://dx.doi.org/10.1521/soco.2021.39.5.608,,,,,,,,,,,,,WOS:000705064500004,View Full Record in Web of Science
J,"Iankilevitch, M; Cary, LA; Remedios, JD; Chasteen, AL",,,,"Iankilevitch, Maria; Cary, Lindsey A.; Remedios, Jessica D.; Chasteen, Alison L.",,,How Do Multiracial and Monoracial People Categorize Multiracial Faces?,SOCIAL PSYCHOLOGICAL AND PERSONALITY SCIENCE,,,,,,,,,,,,"Due to their awareness of multiraciality and their perceptions of race categories as fluid, multiracial individuals may be unique in how they racially categorize multiracial faces. Yet race categorization research has largely overlooked how multiracial individuals categorize other mixed-race people. We therefore asked Asian, White, and multiracial individuals to categorize Asian-White faces using an open-ended response format, which more closely mirrors real-world race categorizations than forced-choice response formats. Our results showed that perceivers from all three racial groups tended to categorize Asian-White faces as monoracial Asian, White, or Hispanic. However, multiracial perceivers categorized the Asian-White faces as multiracial more often than monoracial perceivers did. Our findings suggest that multiracial individuals may approach racial categorization differently from either monoracial majority or minority group members. Furthermore, our results illustrate possible difficulties multiracial people may face when trying to identify other multiracial in-group members.",,,,,,"Iankilevitch, Maria/0000-0001-7687-9160",,,,,,,,,,,,,1948-5506,1948-5514,,,,JUL,2020,11,5,,,SI,,688,696,1.94855E+15,10.1177/1948550619884563,http://dx.doi.org/10.1177/1948550619884563,,NOV 2019,,,,,,,,,,,WOS:000497608700001,View Full Record in Web of Science
J,"Napier, JL; Luguri, JB; Dovidio, JF; Oltman, KA",,,,"Napier, Jaime L.; Luguri, Jamie B.; Dovidio, John F.; Oltman, Kathleen A.",,,Construing the Essence: The Effects of Construal Level on Genetic Attributions for Individual and Social Group Differences,PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN,,,,,,,,,,,,"The present research links a nonsocial, contextual influence (construal level) to the tendency to endorse genetic attributions for individual and social group differences. Studies 1to 3 show that people thinking in an abstract (vs. concrete) mind-set score higher on a measure of genetic attributions for individual and racial group differences. Study 4 showed that abstract (vs. concrete) construal also increased genetic attributions for novel groups. Study 5 explored the potential downstream consequences of construal on intergroup attitudes, and found that abstract (vs. concrete) construal led people to endorse genetic attributions in general and this was associated with increased anti-Black prejudice.",,,,,,,,,,,,,,,,,,,0146-1672,1552-7433,,,,SEP,2018,44,9,,,,,1395,1407,,10.1177/0146167218768799,http://dx.doi.org/10.1177/0146167218768799,,,,,,,,29716421,,,,,WOS:000440691000008,View Full Record in Web of Science
J,"Gaither, SE; Babbitt, LG; Sommers, SR",,,,"Gaither, Sarah E.; Babbitt, Laura G.; Sommers, Samuel R.",,,Resolving racial ambiguity in social interactions,JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY,,,,,,,,,,,,"People take longer to categorize racially ambiguous individuals, but does this perceptual complexity also affect social interactions? In Study 1, White participants interacted with a racially ambiguous confederate who was either labeled as biracial Black/White, monoracial Black, or given no racial label. White participants in the biracial condition were significantly less cognitively depleted, less essentialist in their thoughts about race, and exhibited more accurate face memory for their partners than when partner race remained unspecified or was labeled as monoracial Black. Confederate reports and nonverbal behavior in the biracial condition were also more positive. In Study 2, White participants perceived more similarity with a biracial Black/White labeled interaction partner compared to a Black-specified or race-unspecified partner, highlighting for the first time how racial ambiguity and racial labeling affect behavioral outcomes in social interactions.",,,,,,,,,,,,,,,,,,,0022-1031,1096-0465,,,,MAY,2018,76,,,,,,259,269,,10.1016/j.jesp.2018.03.003,http://dx.doi.org/10.1016/j.jesp.2018.03.003,,,,,,,,,,,,,WOS:000432508900027,View Full Record in Web of Science
J,"Lee, KRY; Reis, HT; Rogge, RD",,,,"Lee, Karisa Y.; Reis, Harry T.; Rogge, Ronald D.",,,Seeing the World in Pink and Blue: Developing and Exploring a New Measure of Essentialistic Thinking about Gender,SEX ROLES,,,,,,,,,,,,"Essentialism, or the belief that certain categories have fundamental, intrinsic, and stable essences, pervasively influences social judgments. Among the many groupings that describe people, gender is the most essentialized category yet relatively little is known about individual differences in gender essentialism. To explore this construct in Study 1 with 2996 U.S. participants, we developed a new measure, named the Gender Essentialism Measure (GEM), that offers two advantages over prior measures: (a) we used Item Response Theory to optimize the measure's psychometrics and (b) we adopted a multidimensional conceptualization, incorporating four core facets of gender essentialism (Biological Determinism, Social Determinism, Immutability, and Inductive Potential). Study 2 used a large U.S. sample (n = 2803) to characterize individual differences in essentialistic thinking about gender. Gender essentialism was associated with endorsement of sexism, system-justifying ideologies, relatively inflexible and dispositional thinking about others, and lesser empathic concern and perspective-taking. Studies 3 and 4, using samples of 133 and 118 U.S. participants, respectively, demonstrated that gender essentialism predicts greater acceptance of existing gender disparities. Our research indicates that understanding and addressing the societal and personal impact of gender stereotyping would benefit from going beyond sexism to also considering the role of essentialistic thinking about gender. The GEM offers researchers, practitioners, and policymakers a psychometrically optimized, multi-faceted tool to assess the extent and prevalence of gender-essentialistic beliefs.",,,,,,,,,,,,,,,,,,,0360-0025,1573-2762,,,,DEC,2020,83,11-12,,,,,685,705,,10.1007/s11199-020-01141-1,http://dx.doi.org/10.1007/s11199-020-01141-1,,APR 2020,,,,,,,,,,,WOS:000526380200001,View Full Record in Web of Science
J,"Chen, JM",,,,"Chen, Jacqueline M.",,,An integrative review of impression formation processes for multiracial individuals,SOCIAL AND PERSONALITY PSYCHOLOGY COMPASS,,,,,,,,,,,,"In approximately 30 years, up to one in five Americans will be mixed race. How monoracial people perceive multiracials will become a critical aspect of race relations in the United States. This demographic shift highlights the need to broaden social psychological theories and investigations to understand multiracial person perception. This article reviews existing research on how people perceive, and remember mixed-race people, with attention to how these findings contribute to our understanding of racial categorization, impression formation, and intergroup relations. People categorize multiracial people according to the principles of hypodescent (Black + White = Black), the minority bias (Black + White = not White), and by adopting a novel category (Black + White = Multiracial). The particular categorization of a multiracial target depends on several factors, including availability of target information (ancestry, facial appearance), the accessibility of different racial categories, perceiver motives, and the broader cultural context. Downstream implications of these categorization processes are discussed, and future directions are highlighted. Researchers are encouraged to think about race as a multifaceted concept that includes many components (appearance, identity, ancestry, and perceived) that are not necessarily one-to-one, especially for mixed-race individuals.",,,,,,,,,,,,,,,,,,,,1751-9004,,,,JAN,2019,13,1,,,,,,,e12430,10.1111/spc3.12430,http://dx.doi.org/10.1111/spc3.12430,,,,,,,,,,,,,WOS:000455960600001,View Full Record in Web of Science
J,"Franco, MG; Holmes, OL; Agboh, D",,,,"Franco, Marisa G.; Holmes, Olivia L.; Agboh, Darren",,,When There Is Not Enough to Go Around: How Black People's Perceptions of Competition for Black Mates Affects Forced Black Identity Ascriptions of Black/White Multiracial People,IDENTITY-AN INTERNATIONAL JOURNAL OF THEORY AND RESEARCH,,,,,,,,,,,,"Using a resource scarcity framework, the current study investigated whether Black people's perceptions of competition for Black mates related to ascribing a Black identity onto Black/White Multiracial people. Participants took online questionnaires that assessed competition for Black mates, likelihood of forcing a Black identity onto a self-identified Black/White Multiracial person, essentialism, and contact with Multiracial people. Results indicated that increased perceptions of competition for Black mates was related to increased forced Black identity onto self-identified Black/White Multiracial people, above and beyond levels of essentialism and contact. This relationship was stronger for sexual minorities. The current research supports the proposition that scarcity of resources (i.e., mates) affects ideologies regarding Black/White Multiracial people's identities.",,,,,,,,,,,,,,,,,,,1528-3488,1532-706X,,,,JUL 3,2019,19,3,,,,,192,203,,10.1080/15283488.2019.1621757,http://dx.doi.org/10.1080/15283488.2019.1621757,,,,,,,,,,,,,WOS:000482298800002,View Full Record in Web of Science
J,"Garay, MM; Remedios, JD",,,,"Garay, Maria M.; Remedios, Jessica D.",,,A review of White-centering practices in multiracial research in social psychology,SOCIAL AND PERSONALITY PSYCHOLOGY COMPASS,,,,,,,,,,,,"Multiracial people-those whose racial ancestry is comprised of two or more races-have always had a presence in the United States. However, since the recent US Census shift to allow people to identify with multiple racial groups, social psychologists have shown increased interest in multiracial identity. However, we argue multiracial research tends to emphasize the perceptions, thoughts, and interests of White people through White-centering research practices, which reproduces racial inequality. To understand how multiracial research within social psychology has been shaped by White-centering research practices, we reviewed literature in social psychology examining multiraciality. We show that White-centering practices exist within this literature and explore how White-centering research practices lead to misrepresentations of the conclusions that may be drawn from multiracial research, underscoring how these conclusions affirm racial power or Whiteness. We suggest Critical Race Psychology as a possible framework to help dismantle the affirmation of Whiteness in multiracial research.",,,,,,"Garay, Maria/0000-0001-9795-393X",,,,,,,,,,,,,,1751-9004,,,,OCT,2021,15,10,,,,,,,e12642,10.1111/spc3.12642,http://dx.doi.org/10.1111/spc3.12642,,SEP 2021,,,,,,,,,,,WOS:000694980400001,View Full Record in Web of Science
J,"Mosanya, M; Kwiatkowska, A",,,,"Mosanya, Magdalena; Kwiatkowska, Anna",,,Complex but integrated: Exploring social and cultural identities of women Third Culture Kids (TCK) and factors predicting life satisfaction,INTERNATIONAL JOURNAL OF INTERCULTURAL RELATIONS,,,,,,,,,,,,"The 21 st century, defined by cultural diversity and global mobility, has triggered an unprecedented increase in multicultural individuals, defined as people who internalised more than one culture. Contrasting evidence related to multiculturalism calls for more explorative research to understand cross-cultural identities. The present study explored social and cultural identities of adult female Third Culture Kids (TCKs) (n = 122), multicultural individuals who live mobile lives, and adjustment factors of a global mindset, social inclusiveness and essentialism to find predictors of life satisfaction. We classified social identity into four we-concepts: we-group, we-category, weattributive and we-axiological, and cultural identity into three configurations: integration, categorisation and compartmentalisation. Our results suggested that TCK define social identity predominantly based on passport country (we-category) and relationships with family and friends (we-group). We indicated that axiological (value-based) social identification and global mindset buffered essentialism and categorisation known to disturb cross-cultural relationships. There was a general tendency for integrated cultural identity, with cultural configurations of categorisation and compartmentalisation correlating positively with essentialism. Hierarchical regression analysis evidenced that integrated multicultural identity, global mindset, and social inclusiveness were significant positive predictors of life satisfaction for female TCK. These results feed into a better understanding of the TCK configurations of collective identities and highlighted new factors related to TCK well-being.",,,,,,,,,,,,,,,,,,,0147-1767,1873-7552,,,,SEP,2021,84,,,,,,65,78,,10.1016/j.ijintrel.2021.07.001,http://dx.doi.org/10.1016/j.ijintrel.2021.07.001,,JUL 2021,,,,,,,,,,,WOS:000696990400006,View Full Record in Web of Science
J,"Sahin, O; Yalcinkaya, NS",,,,"Sahin, Ozlem; Yalcinkaya, Nur Soylu",,,The Gendered Brain: Implications of Exposure to Neuroscience Research for Gender Essentialist Beliefs,SEX ROLES,,,,,,,,,,,,"How fundamentally different do people generally think men and women are? Gender essentialism refers to beliefs that women and men have distinct, innate, and fixed biological essences that differentiate them from each other. Exposure to popularized neuroscience research may shape such views. We examined whether exposure to scientific evidence for gender differences or similarities in the brain affects beliefs about gender essentialism, and indirectly shapes sexism and justification of gender inequality, using samples from Turkey. Study 1 (n = 414 undergraduates) showed that exposure to evidence on brain similarities led to lower gender essentialist beliefs, which, in turn, negatively predicted sexism and justification of gender inequality. Unexpectedly, exposure to evidence on gender differences did not lead to an increase in gender essentialist beliefs. Although men scored higher than women on all measures, the indirect effects were significant for both men and women. In Study 2 (n = 119 online community respondents), we found indirect effects of exposure to evidence of brain similarities on justification of gender inequality. We discuss the implications of our findings for challenging gender essentialist views among students and the general public through exposure to research on gender similarities and increased critical thinking about scientific research evidence.",,,,,"Yalcinkaya, Nur Soylu/ABD-2228-2020","Yalcinkaya, Nur Soylu/0000-0001-8947-3792",,,,,,,,,,,,,0360-0025,1573-2762,,,,MAY,2021,84,9-10,,,,,522,535,,10.1007/s11199-020-01181-7,http://dx.doi.org/10.1007/s11199-020-01181-7,,AUG 2020,,,,,,,,,,,WOS:000558610600003,View Full Record in Web of Science
J,"Knowles, ED; Tropp, LR; Mogami, M",,,,"Knowles, Eric D.; Tropp, Linda R.; Mogami, Mao",,,When White Americans see non-Whites as a group: Belief in minority collusion and support for White identity politics,GROUP PROCESSES & INTERGROUP RELATIONS,,,,,,,,,,,,"White Americans may find diversity threatening in part because they construe non-White Americans as a coherent social and political force. We argue that this perception manifests in a belief that minority groups collude against White people and that White people should act as a political bloc to defend ingroup interests. In a 3-year longitudinal study, the belief in minority collusion and support for White identity politics increased significantly among a nationally representative sample of 2,635 White Americans. Compared to White Democrats, White Republicans more strongly endorsed minority collusion beliefs and White identity politics, and increased more in these beliefs over time. Essentialist perceptions of the White ingroup were associated with longitudinal increases in minority collusion beliefs, but not in support for White identity politics. Endorsement of minority collusion and support for White identity politics both predicted lower support for Black Lives Matter and greater support for the Alt-Right movement. Implications for race relations, stigma-based solidarity, and the psychology of partisanship and ideology are discussed.",,,,,,"Knowles, Eric/0000-0001-8525-1930",,,,,,,,,,,,,1368-4302,1461-7188,,,,APR,2022,25,3,,,SI,,768,790,1.36843E+16,10.1177/13684302211030009,http://dx.doi.org/10.1177/13684302211030009,,AUG 2021,,,,,,,,,,,WOS:000683942000001,View Full Record in Web of Science
J,"Winer, C",,,,"Winer, Canton",,,Inequality and the Universal Gay Male Experience: Developing the Concept of Gay Essentialism,JOURNAL OF HOMOSEXUALITY,,,,,,,,,,,,"Debate over the origins of sexuality has animated a great deal of research on homosexuality, centering largely on whether sexuality is biologically determined or socially constructed. The contours of this debate have important ramifications regarding experiences of marginalization within the gay imagined community. Dominant discourses of sexuality can flatten and obscure differences within this community, and these discourses are often connected to essentialist notions of the origins of homosexuality. Nonetheless, the mechanisms through which essentialist notions affect non-heterosexual individuals' understandings of sexual identity and of the gay community remains somewhat unclear. Through analysis of interviews with 29 non-heterosexual men, I find evidence of essentialist logic concerning not only origins but also race, nationality, class, and sexual identity/preference. I synthesize these by advancing the concept of gay essentialism, arguing for a more intersectional approach to the concept that deemphasizes debate over origins. I also examine how gay essentialist logic helps to (re)produce and obscure inequality.",,,,,,"Winer, Canton/0000-0002-4605-1255",,,,,,,,,,,,,0091-8369,1540-3602,,,,,,,,,,,,,,,10.1080/00918369.2022.2085938,http://dx.doi.org/10.1080/00918369.2022.2085938,,JUN 2022,,,,,,35674714,,,,,WOS:000809800400001,View Full Record in Web of Science
J,"Kung, FYH; Chao, MM; Yao, DJ; Adair, WL; Fu, JH; Tasa, K",,,,"Kung, Franki Y. H.; Chao, Melody M.; Yao, Donna J.; Adair, Wendi L.; Fu, Jeanne H.; Tasa, Kevin",,,Bridging racial divides: Social constructionist (vs. essentialist) beliefs facilitate trust in intergroup contexts,JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY,,,,,,,,,,,,"Trust serves as the foundation for social harmony and prosperity, but it is not always easy to build. When people see other groups as different, e.g., members of a different race or ethnicity, the perceived boundary often obstructs people from extending trust. This may result in interracial conflicts. The current research argues that individual differences in the lay theory of race can systematically influence the degree to which people extend trust to a racial outgroup in conflict situations. The lay theory of race refers to the extent to which people believe race is a malleable social construct that can change over time (i.e., social constructionist beliefs) versus a fixed essence that differentiates people into meaningful social categories (i.e., essentialist beliefs). In our three studies, we found evidence that social constructionist (vs. essentialist) beliefs promoted interracial trust in intergroup contexts, and that this effect held regardless of whether the lay theory of race was measured (Studies 1 and 3) or manipulated (Study 2), and whether the conflict was presented in a team conflict scenario (Study 1), social dilemma (Study 2), or a face-to-face dyadic negotiation (Study 3). In addition, results revealed that the lay theory's effect on interracial trust could have critical downstream consequences in conflict, namely cooperation and mutually beneficial negotiation outcomes. The findings together reveal that the lay theory of race can reliably influence interracial trust and presents a promising direction for understanding interracial relations and improving intergroup harmony in society.",,,,,"Kung, Franki/P-9497-2019; Chao, Melody/L-9448-2019; Fu, Jeanne Ho Ying/G-9685-2016","Kung, Franki/0000-0002-6327-6229; Chao, Melody/0000-0003-3980-8974; Fu, Jeanne Ho Ying/0000-0002-7521-3954; Adair, Wendi/0000-0002-6000-4754",,,,,,,,,,,,,0022-1031,1096-0465,,,,JAN,2018,74,,,,,,121,134,,10.1016/j.jesp.2017.09.008,http://dx.doi.org/10.1016/j.jesp.2017.09.008,,,,,,,,,,,,,WOS:000418989800013,View Full Record in Web of Science
J,"Ching, BHH; Xu, JT",,,,"Ching, Boby Ho-Hong; Xu, Jason Teng",,,The Effects of Gender Neuroessentialism on Transprejudice: An Experimental Study,SEX ROLES,,,,,,,,,,,,"This experimental study examined the impacts of gender neuroessentialism on stereotyping and prejudice against transgender people. We randomly assigned 132 Chinese, mostly heterosexual college students to read one of three fictitious articles in which the first article explained sex differences in personality and social behavior by neurological factors (biological determinist), a second article questioned this deterministic claim (interactionist), and a third article was unrelated to gender (neutral baseline). The biological determinist condition aimed to foster essentialist beliefs by priming the deterministic ways that the brain relates to personality and behavior, whereas the interactionist condition highlighted the interactive roles of the brain and environments on people's personality and behavior. We found that participants in the biological determinist condition showed more negative stereotypes and stronger prejudicial attitudes toward transgender people compared with participants in the interactionist condition and those in the control condition. There were no significant differences in transprejudice between the interactionist and control conditions. The present study represents one of the few studies that examined the connection between gender essentialism and transprejudice. The findings suggest that essentialist claims that ground the male/female binary in biology may lead to more transprejudice.",,,,,"Xu, Jason/GRR-9638-2022; Ching, Boby Ho-Hong/ABG-3753-2021; XU, Jason/GPW-9039-2022","Ching, Boby Ho-Hong/0000-0002-3526-7704; ",,,,,,,,,,,,,0360-0025,1573-2762,,,,FEB,2018,78,3-4,,,,,228,241,,10.1007/s11199-017-0786-3,http://dx.doi.org/10.1007/s11199-017-0786-3,,,,,,,,,,,,,WOS:000422953300006,View Full Record in Web of Science
J,"Herd, P; Mills, MC; Dowd, JB",,,,"Herd, Pamela; Mills, Melinda C.; Dowd, Jennifer Beam",,,Reconstructing Sociogenomics Research: Dismantling Biological Race and Genetic Essentialism Narratives,JOURNAL OF HEALTH AND SOCIAL BEHAVIOR,,,,,,,,,,,,"We detail the implications of sociogenomics for social determinants research. We focus on education and race because of how early twentieth-century scientific eugenic thinking facilitated a range of racist and eugenic policies, most of which helped justify and pattern racial and educational morbidity and mortality disparities that remain today, and are central to sociological research. Consequently, we detail the implications of sociogenomics research by unpacking key controversies and opportunities in sociogenomics as they pertain to the understanding of racial and educational inequalities. We clarify why race is not a valid biological or genetic construct, the ways that environments powerfully shape genetic influence, and risks linked to this field of research. We argue that sociologists can usefully engage in genetics research, a domain dominated by psychologists and behaviorists who, given their focus on individuals, have mostly not examined the role of history and social structure in shaping genetic influence.",,,,,,"Herd, Pamela/0000-0002-0137-5846",,,,,,,,,,,,,0022-1465,2150-6000,,,,SEP,2021,62,3,,,,,419,435,2.21465E+14,10.1177/00221465211018682,http://dx.doi.org/10.1177/00221465211018682,,JUN 2021,,,,,,34100668,,,,,WOS:000660905700001,View Full Record in Web of Science
J,"Preddie, JP; Biernat, M",,,,"Preddie, Justin P.; Biernat, Monica",,,More than the Sum of Its Parts: Intersections of Sexual Orientation and Race as They Influence Perceptions of Group Similarity and Stereotype Content,SEX ROLES,,,,,,,,,,,,"Across two studies conducted in the United States, we apply an intersectional analysis to investigate how the interaction of sexual orientation (gay versus straight) and race (Black versus White) in male groups affect perceptions of inter-group similarity and stereotype content. The intersectionality hypothesis (Hypothesis 1) predicts that the interaction of race and sexual orientation will influence inter-group similarity perceptions and produce unique stereotype content that is not the result of simply adding race stereotypes to sexual orientation stereotypes. The related prototypicality hypothesis (Hypothesis 2) predicts that intersectional groups will generate more perceived dissimilarity and more unique attributes when they are non-prototypical with respect to race (Black) and sexual orientation (gay). We found strong support for intersectionality (Hypothesis 1); for Hypothesis 2, the prototypicality hypothesis, support was strongest with respect to the impact of non-prototypical sexual orientation (i.e., gayness). In Study 1, the group Gay Black men was viewed as most dissimilar to the group Men, and to its constituent ingroups. In Study 2, the group Gay Black men generated the most unique stereotype content. The addition of the label gay also reduced stereotype negativity, particularly in perceptions of Black men. The results contribute to research and theory by demonstrating that the intersection of ethnic and sexual orientation stereotypes is complex and produces meaningful differences in the perception of groups.",,,,,,"Preddie, Justin/0000-0002-9370-3017; Biernat, Monica/0000-0003-1593-7050",,,,,,,,,,,,,0360-0025,1573-2762,,,,MAY,2021,84,9-10,,,,,554,573,,10.1007/s11199-020-01185-3,http://dx.doi.org/10.1007/s11199-020-01185-3,,AUG 2020,,,,,,,,,,,WOS:000562371100001,View Full Record in Web of Science
J,"Ma, DS; Hohl, D; Kantner, J",,,,"Ma, Debbie S.; Hohl, Danita; Kantner, Justin",,,The politics of identity: The unexpected role of political orientation on racial categorizations of Kamala Harris,ANALYSES OF SOCIAL ISSUES AND PUBLIC POLICY,,,,,,,,,,,,"The 2020 US Presidential election was historic in that it featured the first woman of color, Kamala Harris, on a major-party ticket. Although Harris identifies as Black, her racial identity was widely scrutinized throughout the election, due to her mixed-race ancestry. Moreover, media coverage of Harris's racial identity appeared to vary based on that news outlet's political leaning and sometimes had prejudicial undertones. The current research investigated racial categorization of Harris and the role that political orientation and anti-Black prejudice might play in shaping these categorizations. Studies 1 and 2 tested the possibility that conservatives and liberals might mentally represent Harris differently, which we hypothesized would lead the two groups to differ in how they categorized her race. Contrary to our prediction, conservatives, and liberals mentally represented Harris similarly. Also surprising were the explicit racial categorization data. Conservatives labeled Harris as White more than liberals, who tended to categorize Harris as multiracial. This pattern was explained by anti-Black prejudice. Study 3 examined a potential political motivation that might explain this finding. We found that conservatives, more than liberals, judge having a non-White candidate on a Democratic ballot as an asset, which may lead conservatives to deny non-White candidates these identities.",,,,,,"Ma, Debbie/0000-0003-0585-6476",,,,,,,,,,,,,1529-7489,1530-2415,,,,DEC,2021,21,1,,,,,99,120,,10.1111/asap.12257,http://dx.doi.org/10.1111/asap.12257,,JUN 2021,,,,,,,,,,,WOS:000667719200001,View Full Record in Web of Science
J,"Chin, JC; Luna, GAM; Huo, YJ; Perez, EO",,,,"Chin, Jason C.; Luna, Gustavo A. Martir; Huo, Yuen J.; Perez, Efren O.",,,"Motivating Collective Action in Diverse Groups: Person of Color Identity, Prototypicality Perceptions, and Environmental Attitudes",SOCIAL PSYCHOLOGICAL AND PERSONALITY SCIENCE,,,,,,,,,,,,"People of color (PoC) face common threats as marginalized ethno-racial groups, yet it remains unclear what drives a diverse range of people to collectively mobilize. Relative to White Americans, PoC are disproportionately endangered by environmental pollution. We suggest that when facing common threats, such as environmental injustice, making salient PoC-Identity (PoC-ID)-a superordinate category encompassing non-White groups-may motivate its members to collectively act. In a study with nationally representative samples of Black, Latinx, and Asian Americans (N = 1,866), we found that higher levels of PoC-ID predicted attitudes and behavioral intentions to confront environmental injustices, which were mediated by anger about environmental injustices and efficacy as PoC. Although PoC-ID consistently explained Black Americans' attitudes and behavioral intentions, its influence among Latinx and Asian Americans was moderated by self-perceived prototypicality as PoC. We discuss how these findings advance understanding of the psychological mechanisms of coalition-building among marginalized groups.",,,,,,,,,,,,,,,,,,,1948-5506,1948-5514,,,,,,,,,,,,,,1.94855E+16,10.1177/19485506221083818,http://dx.doi.org/10.1177/19485506221083818,,MAR 2022,,,,,,,,,,,WOS:000773486000001,View Full Record in Web of Science
J,"Shakur, TKT; Phillips, LT",,,,"Shakur, Teodora K. Tomova; Phillips, L. Taylor",,,What Counts as Discrimination? How Principles of Merit Shape Fairness of Demographic Decisions,JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,,,,,,,,,,,,"Demographic attributes (e.g., age, disability, race) frequently affect people's decisions. We provide a novel perspective as to why such discrimination persists: Meritocratic principles lead people to perceive some demographic attributes as fair to use, rather than as discriminatory. Specifically, we theorize that meritocracy requires that controllable and relevant inputs determine outcomes; as a result, perceived controllability and relevance affect the degree to which demographic attributes are perceived as fair to use. Moreover, we suggest perceived relevance outweighs controllability, such that even uncontrollable attributes can be perceived as fair criteria if perceived to be outcome relevant. In two qualitative studies, we probed how people think about demographic attributes used in selection (Studies 1a-b). We find that people refer to controllability and relevance dimensions to justify their perceptions. Further, people largely associate uncontrollable, irrelevant attributes with discrimination (race, sex), neglecting attributes they perceive as controllable and/or relevant (disability, caregiving status). Next, three surveys (Studies 2a-c) support our theorizing that perceived relevance impacts fairness perceptions more strongly than perceived controllability. In three experiments (Studies 3a-c), we provide causal evidence that relevance and controllability shape perceived fairness, which in turn affects selection behaviors, including seeking information regarding demographic attributes during hiring. Finally, Study 4 demonstrates downstream consequences: Perceived controllability, relevance, and use of demographic attributes together impact employees' psychological safety and job satisfaction. Overall, we find that principles of merit lead people to believe that even some legally protected demographic attributes are fair to use, allowing discrimination to persist.",,,,,"Phillips, L. Taylor/B-4829-2017","Phillips, L. Taylor/0000-0003-4655-6904; Tomova Shakur, Teodora/0000-0003-4798-8012",,,,,,,,,,,,,0022-3514,1939-1315,,,,NOV,2022,123,5,,,,,957,982,,10.1037/pspi0000383,http://dx.doi.org/10.1037/pspi0000383,,JAN 2022,,,,,,35025597,,,,,WOS:000741674600001,View Full Record in Web of Science
